Tanggal,Garut_PRECTOTCORR,Garut_T2M,Garut_RH2M
2022-01-03,2.65,22.0,88.45
2022-01-04,0.09,22.78,81.91
2022-01-05,4.52,23.36,86.26
2022-01-06,21.95,23.45,88.34
2022-01-07,44.62,22.81,90.41
2022-01-08,6.13,23.74,87.08
2022-01-09,17.08,23.66,89.65
2022-01-10,13.68,23.68,89.61
2022-01-11,12.93,22.8,91.9
2022-01-12,13.8,22.04,92.95
2022-01-13,9.2,22.21,90.73
2022-01-14,2.35,22.41,88.57
2022-01-15,3.12,22.9,89.01
2022-01-16,0.89,22.97,89.37
2022-01-17,8.26,23.43,86.65
2022-01-18,11.7,22.97,91.49
2022-01-19,29.95,22.56,90.72
2022-01-20,2.82,21.74,91.51
2022-01-21,2.43,22.74,89.17
2022-01-22,0.76,23.31,86.46
2022-01-23,2.46,23.79,87.3
2022-01-24,5.52,23.72,86.67
2022-01-25,1.96,23.67,88.15
2022-01-26,0.66,23.5,88.07
2022-01-27,1.87,23.21,87.8
2022-01-28,1.88,23.17,86.4
2022-01-29,2.0,23.53,85.54
2022-01-30,1.82,23.99,86.41
2022-01-31,10.16,23.17,89.83
2022-02-01,13.87,23.19,85.13
2022-02-02,7.1,22.66,88.09
2022-02-03,9.23,23.38,85.4
2022-02-04,10.97,23.44,88.1
2022-02-05,13.88,23.26,90.61
2022-02-06,9.09,22.67,90.97
2022-02-07,7.29,22.39,93.22
2022-02-08,11.6,22.78,90.32
2022-02-09,14.62,22.82,89.93
2022-02-10,2.22,23.12,86.8
2022-02-11,0.47,22.73,88.12
2022-02-12,0.98,22.67,90.98
2022-02-13,2.88,22.49,92.06
2022-02-14,4.05,22.66,90.98
2022-02-15,9.3,23.09,87.35
2022-02-16,6.59,22.92,87.88
2022-02-17,14.25,22.93,90.07
2022-02-18,8.23,22.55,90.39
2022-02-19,12.99,23.32,88.42
2022-02-20,8.77,23.22,87.42
2022-02-21,5.24,23.46,85.75
2022-02-22,28.33,23.05,84.81
2022-02-23,11.12,22.83,84.94
2022-02-24,9.23,23.17,85.82
2022-02-25,1.86,22.85,85.93
2022-02-26,1.26,22.37,87.13
2022-02-27,7.82,22.62,85.73
2022-02-28,2.88,22.92,85.4
2022-03-01,2.84,22.8,85.99
2022-03-02,8.22,23.01,87.86
2022-03-03,5.49,23.04,85.48
2022-03-04,7.88,23.07,88.7
2022-03-05,31.39,23.05,90.25
2022-03-06,16.01,22.78,90.27
2022-03-07,16.26,22.49,91.7
2022-03-08,8.41,23.61,84.19
2022-03-09,15.28,23.07,88.71
2022-03-10,18.22,23.12,87.07
2022-03-11,40.29,23.32,90.19
2022-03-12,13.43,23.6,89.97
2022-03-13,10.74,23.81,87.53
2022-03-14,26.87,23.88,91.31
2022-03-15,11.54,22.03,91.96
2022-03-16,0.85,23.11,87.44
2022-03-17,3.49,23.66,88.66
2022-03-18,9.13,23.84,92.45
2022-03-19,13.93,23.69,89.35
2022-03-20,3.75,23.38,89.61
2022-03-21,2.27,22.75,87.14
